review_id,productname,ratings,sentiments,timestamp
1,Smartwatch A,2,"Not great, but not the worst either.",01-07-24
2,Tablet B,3,"It's okay, does the job but nothing special.",01-03-24
3,Headphones Z,1,"Terrible quality, broke within a week.",01-23-24
4,Tablet B,1,"Mediocre, expected better performance.",01-18-24
5,Tablet B,4,Amazing product! Works like a charm.,02-07-24
6,Smartphone Y,3,"Terrible quality, broke within a week.",01-15-24
7,Headphones Z,5,"Mediocre, expected better performance.",03-04-24
8,Headphones Z,3,Love it! Worth every penny.,03-29-24
9,Headphones Z,4,"Terrible quality, broke within a week.",01-28-24
10,Tablet B,4,"Fantastic device, highly recommend.",03-14-24
11,Smartwatch A,3,Amazing product! Works like a charm.,02-08-24
12,Headphones Z,4,"Mediocre, expected better performance.",02-26-24
13,Tablet B,3,"Mediocre, expected better performance.",01-17-24
14,Smartphone Y,2,"Mediocre, expected better performance.",03-26-24
15,Smartwatch A,3,Love it! Worth every penny.,03-30-24
16,Smartphone Y,3,"Terrible quality, broke within a week.",02-13-24
17,Smartwatch A,4,Love it! Worth every penny.,01-25-24
18,Tablet B,4,"Not great, but not the worst either.",01-17-24
19,Laptop X,1,Worst experience ever. Would not recommend.,01-13-24
20,Smartwatch A,1,Worst experience ever. Would not recommend.,03-24-24
21,Smartphone Y,2,"Not great, but not the worst either.",01-25-24
22,Tablet B,1,"Terrible quality, broke within a week.",03-08-24
23,Smartwatch A,3,"Fantastic device, highly recommend.",01-10-24
24,Laptop X,4,Love it! Worth every penny.,03-07-24
25,Laptop X,1,Amazing product! Works like a charm.,01-18-24
26,Headphones Z,1,"Mediocre, expected better performance.",03-26-24
27,Headphones Z,2,"Mediocre, expected better performance.",02-03-24
28,Smartphone Y,2,"Terrible quality, broke within a week.",01-08-24
29,Smartwatch A,3,"Fantastic device, highly recommend.",02-09-24
30,Smartwatch A,4,Worst experience ever. Would not recommend.,03-23-24
31,Headphones Z,2,Worst experience ever. Would not recommend.,02-11-24
32,Smartwatch A,1,"Mediocre, expected better performance.",02-10-24
33,Smartwatch A,4,"Terrible quality, broke within a week.",01-06-24
34,Laptop X,4,Love it! Worth every penny.,02-21-24
35,Headphones Z,1,Worst experience ever. Would not recommend.,01-26-24
36,Tablet B,2,Love it! Worth every penny.,03-04-24
37,Headphones Z,1,"Fantastic device, highly recommend.",02-28-24
38,Tablet B,4,Worst experience ever. Would not recommend.,02-25-24
39,Laptop X,5,Worst experience ever. Would not recommend.,02-28-24
40,Smartphone Y,5,"It's okay, does the job but nothing special.",03-10-24
41,Smartwatch A,3,Worst experience ever. Would not recommend.,02-02-24
42,Laptop X,1,"Not great, but not the worst either.",02-22-24
43,Smartwatch A,1,Amazing product! Works like a charm.,01-22-24
44,Smartphone Y,3,"Not great, but not the worst either.",01-21-24
45,Smartphone Y,3,"Terrible quality, broke within a week.",03-10-24
46,Laptop X,3,"Terrible quality, broke within a week.",03-10-24
47,Smartphone Y,4,Love it! Worth every penny.,01-04-24
48,Tablet B,1,"Not great, but not the worst either.",03-15-24
49,Smartphone Y,4,"Not great, but not the worst either.",03-02-24
50,Smartwatch A,3,"Not great, but not the worst either.",03-02-24
51,Smartwatch A,1,"Fantastic device, highly recommend.",01-24-24
52,Smartwatch A,4,Worst experience ever. Would not recommend.,02-24-24
53,Smartwatch A,4,Amazing product! Works like a charm.,01-09-24
54,Tablet B,3,Love it! Worth every penny.,01-03-24
55,Headphones Z,1,"Not great, but not the worst either.",01-31-24
56,Laptop X,3,"Not great, but not the worst either.",02-09-24
57,Smartwatch A,1,"It's okay, does the job but nothing special.",02-05-24
58,Smartphone Y,5,Love it! Worth every penny.,01-24-24
59,Smartwatch A,2,"Not great, but not the worst either.",01-06-24
60,Smartphone Y,2,Love it! Worth every penny.,03-06-24
61,Smartphone Y,2,Worst experience ever. Would not recommend.,03-24-24
62,Smartwatch A,3,"It's okay, does the job but nothing special.",03-15-24
63,Tablet B,5,Love it! Worth every penny.,01-04-24
64,Smartphone Y,1,Amazing product! Works like a charm.,03-19-24
65,Smartphone Y,4,Amazing product! Works like a charm.,01-06-24
66,Smartwatch A,1,"Terrible quality, broke within a week.",02-20-24
67,Smartphone Y,4,"It's okay, does the job but nothing special.",03-02-24
68,Smartphone Y,1,"It's okay, does the job but nothing special.",02-26-24
69,Smartwatch A,5,"Terrible quality, broke within a week.",03-06-24
70,Smartwatch A,4,Love it! Worth every penny.,03-19-24
71,Laptop X,3,"It's okay, does the job but nothing special.",03-15-24
72,Tablet B,1,Amazing product! Works like a charm.,01-08-24
73,Tablet B,1,Amazing product! Works like a charm.,01-26-24
74,Smartphone Y,4,"Not great, but not the worst either.",02-20-24
75,Tablet B,3,Worst experience ever. Would not recommend.,02-14-24
76,Smartphone Y,3,"It's okay, does the job but nothing special.",02-13-24
77,Laptop X,5,Love it! Worth every penny.,01-05-24
78,Smartwatch A,3,"Terrible quality, broke within a week.",03-10-24
79,Smartwatch A,3,"Terrible quality, broke within a week.",01-26-24
80,Smartwatch A,3,Love it! Worth every penny.,03-08-24
81,Tablet B,2,"Fantastic device, highly recommend.",01-19-24
82,Laptop X,5,"Mediocre, expected better performance.",03-24-24
83,Tablet B,1,Worst experience ever. Would not recommend.,01-20-24
84,Tablet B,4,"Terrible quality, broke within a week.",01-12-24
85,Laptop X,1,"It's okay, does the job but nothing special.",02-16-24
86,Laptop X,5,Worst experience ever. Would not recommend.,01-01-24
87,Laptop X,4,"It's okay, does the job but nothing special.",03-30-24
88,Laptop X,5,"Fantastic device, highly recommend.",01-14-24
89,Smartwatch A,3,Amazing product! Works like a charm.,03-04-24
90,Headphones Z,4,Worst experience ever. Would not recommend.,02-07-24
91,Headphones Z,3,"Not great, but not the worst either.",02-06-24
92,Laptop X,1,"Terrible quality, broke within a week.",01-11-24
93,Headphones Z,1,Worst experience ever. Would not recommend.,03-17-24
94,Headphones Z,4,Worst experience ever. Would not recommend.,01-03-24
95,Laptop X,4,Worst experience ever. Would not recommend.,02-02-24
96,Headphones Z,5,"Mediocre, expected better performance.",01-06-24
97,Tablet B,5,Worst experience ever. Would not recommend.,02-19-24
98,Smartphone Y,3,"It's okay, does the job but nothing special.",01-10-24
99,Smartphone Y,4,Amazing product! Works like a charm.,01-05-24
100,Laptop X,1,"Fantastic device, highly recommend.",01-23-24
101,Smartwatch A,5,Love it! Worth every penny.,01-10-24
102,Laptop X,5,Worst experience ever. Would not recommend.,02-13-24
103,Smartwatch A,1,"Terrible quality, broke within a week.",01-02-24
104,Smartphone Y,5,Worst experience ever. Would not recommend.,01-13-24
105,Laptop X,3,"Terrible quality, broke within a week.",02-09-24
106,Tablet B,4,"It's okay, does the job but nothing special.",01-02-24
107,Headphones Z,1,"Terrible quality, broke within a week.",03-24-24
108,Smartwatch A,4,"Not great, but not the worst either.",03-05-24
109,Headphones Z,5,Love it! Worth every penny.,03-03-24
110,Headphones Z,5,Amazing product! Works like a charm.,03-13-24
111,Laptop X,1,"Terrible quality, broke within a week.",01-17-24
112,Headphones Z,3,"Terrible quality, broke within a week.",01-09-24
113,Tablet B,2,Amazing product! Works like a charm.,03-15-24
114,Headphones Z,1,Love it! Worth every penny.,01-15-24
115,Laptop X,2,Worst experience ever. Would not recommend.,01-24-24
116,Tablet B,2,"Terrible quality, broke within a week.",02-07-24
117,Smartphone Y,3,Amazing product! Works like a charm.,02-04-24
118,Headphones Z,2,"Not great, but not the worst either.",02-18-24
119,Laptop X,2,"Not great, but not the worst either.",03-09-24
120,Smartphone Y,3,"It's okay, does the job but nothing special.",03-02-24
121,Smartphone Y,2,Amazing product! Works like a charm.,02-29-24
122,Smartwatch A,2,"It's okay, does the job but nothing special.",02-19-24
123,Tablet B,2,"Not great, but not the worst either.",03-18-24
124,Headphones Z,1,Love it! Worth every penny.,03-15-24
125,Laptop X,1,Worst experience ever. Would not recommend.,01-09-24
126,Smartwatch A,1,Amazing product! Works like a charm.,02-03-24
127,Tablet B,3,"Fantastic device, highly recommend.",03-16-24
128,Smartwatch A,5,"Not great, but not the worst either.",02-04-24
129,Tablet B,2,"Not great, but not the worst either.",01-01-24
130,Tablet B,2,"Fantastic device, highly recommend.",02-09-24
131,Headphones Z,3,"Mediocre, expected better performance.",03-04-24
132,Tablet B,2,"Not great, but not the worst either.",01-22-24
133,Smartwatch A,1,"Terrible quality, broke within a week.",02-29-24
134,Tablet B,5,Love it! Worth every penny.,03-04-24
135,Headphones Z,4,Amazing product! Works like a charm.,03-12-24
136,Headphones Z,2,"Fantastic device, highly recommend.",01-11-24
137,Smartwatch A,1,"Terrible quality, broke within a week.",01-14-24
138,Smartphone Y,4,"Fantastic device, highly recommend.",02-29-24
139,Smartphone Y,5,Amazing product! Works like a charm.,01-30-24
140,Tablet B,4,"It's okay, does the job but nothing special.",02-04-24
141,Laptop X,1,Amazing product! Works like a charm.,03-25-24
142,Tablet B,4,"Mediocre, expected better performance.",02-06-24
143,Smartwatch A,3,Amazing product! Works like a charm.,01-05-24
144,Smartwatch A,4,Amazing product! Works like a charm.,03-23-24
145,Smartwatch A,2,"Mediocre, expected better performance.",03-18-24
146,Smartwatch A,2,Love it! Worth every penny.,01-26-24
147,Smartwatch A,3,"Not great, but not the worst either.",03-02-24
148,Headphones Z,1,Amazing product! Works like a charm.,01-04-24
149,Smartphone Y,2,"Mediocre, expected better performance.",03-29-24
150,Smartwatch A,5,"Terrible quality, broke within a week.",02-11-24
151,Laptop X,2,"It's okay, does the job but nothing special.",03-29-24
152,Laptop X,2,"It's okay, does the job but nothing special.",01-18-24
153,Laptop X,1,Amazing product! Works like a charm.,02-09-24
154,Laptop X,4,Love it! Worth every penny.,03-12-24
155,Headphones Z,2,Love it! Worth every penny.,02-08-24
156,Laptop X,3,"Terrible quality, broke within a week.",01-14-24
157,Smartwatch A,4,Amazing product! Works like a charm.,02-01-24
158,Tablet B,5,"It's okay, does the job but nothing special.",02-20-24
159,Laptop X,1,Love it! Worth every penny.,02-07-24
160,Headphones Z,5,Amazing product! Works like a charm.,01-23-24
161,Headphones Z,4,"Fantastic device, highly recommend.",03-03-24
162,Laptop X,4,Love it! Worth every penny.,01-15-24
163,Tablet B,4,"Mediocre, expected better performance.",01-25-24
164,Laptop X,5,"Fantastic device, highly recommend.",01-17-24
165,Headphones Z,4,"Not great, but not the worst either.",03-06-24
166,Smartphone Y,5,Love it! Worth every penny.,03-18-24
167,Smartwatch A,4,"It's okay, does the job but nothing special.",02-22-24
168,Headphones Z,3,Worst experience ever. Would not recommend.,02-20-24
169,Laptop X,4,"Fantastic device, highly recommend.",02-08-24
170,Smartwatch A,5,"Not great, but not the worst either.",02-20-24
171,Laptop X,2,"Terrible quality, broke within a week.",03-10-24
172,Laptop X,4,"Terrible quality, broke within a week.",01-06-24
173,Smartphone Y,2,"It's okay, does the job but nothing special.",03-07-24
174,Smartwatch A,3,Love it! Worth every penny.,01-07-24
175,Smartwatch A,1,Amazing product! Works like a charm.,02-20-24
176,Smartphone Y,3,Love it! Worth every penny.,03-12-24
177,Headphones Z,4,"It's okay, does the job but nothing special.",02-11-24
178,Laptop X,2,"Terrible quality, broke within a week.",03-04-24
179,Tablet B,2,Love it! Worth every penny.,01-15-24
180,Laptop X,5,"Terrible quality, broke within a week.",01-29-24
181,Laptop X,2,"Fantastic device, highly recommend.",02-02-24
182,Headphones Z,5,"Not great, but not the worst either.",01-27-24
183,Laptop X,1,Amazing product! Works like a charm.,02-05-24
184,Smartphone Y,4,"Fantastic device, highly recommend.",01-29-24
185,Smartphone Y,5,"Terrible quality, broke within a week.",02-07-24
186,Smartwatch A,1,"Terrible quality, broke within a week.",02-26-24
187,Tablet B,2,Worst experience ever. Would not recommend.,01-27-24
188,Laptop X,2,Worst experience ever. Would not recommend.,02-24-24
189,Laptop X,1,"Fantastic device, highly recommend.",02-02-24
190,Headphones Z,2,"Mediocre, expected better performance.",03-08-24
191,Smartphone Y,1,"Fantastic device, highly recommend.",03-26-24
192,Tablet B,5,Worst experience ever. Would not recommend.,03-06-24
193,Smartwatch A,5,"Terrible quality, broke within a week.",01-10-24
194,Smartphone Y,1,"It's okay, does the job but nothing special.",01-05-24
195,Smartwatch A,5,"Fantastic device, highly recommend.",03-14-24
196,Headphones Z,5,"Terrible quality, broke within a week.",02-07-24
197,Headphones Z,5,"It's okay, does the job but nothing special.",01-13-24
198,Laptop X,3,"It's okay, does the job but nothing special.",01-31-24
199,Tablet B,4,Worst experience ever. Would not recommend.,02-16-24
200,Smartwatch A,2,"Fantastic device, highly recommend.",03-28-24
